date,nav,scheme_code
2006-01-06,96.08,100033
2006-01-08,96.62,100033
2006-01-09,106.31,100033
2006-01-11,118.96,100033
2006-01-12,125.58,100033
2006-02-05,116.65,100033
2006-02-06,98.58,100033
2006-02-08,97.74,100033
2006-02-11,119.42,100033
2006-03-04,116.61,100033
2006-03-05,117.44,100033
2006-03-07,95.87,100033
2006-03-08,98.23,100033
2006-03-10,111.36,100033
2006-03-11,119.51,100033
2006-04-04,116.98,100033
2006-04-05,117.24,100033
2006-04-07,95.85,100033
2006-04-08,97.86,100033
2006-04-09,107.75,100033
2006-04-10,110.2,100033
2006-04-12,126.6,100033
2006-05-04,117.62,100033
2006-05-05,118.1,100033
2006-05-06,96.6,100033
2006-05-07,97.29,100033
2006-05-09,107.86,100033
2006-05-10,111.61,100033
2006-05-12,126.77,100033
2006-06-06,94.7,100033
2006-06-07,96.09,100033
2006-06-09,107.95,100033
2006-06-10,111.94,100033
2006-06-11,119.88,100033
2006-06-12,126.73,100033
2006-07-04,116.08,100033
2006-07-06,91.73,100033
2006-07-07,94.28,100033
2006-07-08,97.52,100033
2006-07-09,107.25,100033
2006-07-11,119.41,100033
2006-07-12,126.56,100033
2006-08-05,118.49,100033
2006-08-06,87.65,100033
2006-08-08,99.31,100033
2006-08-09,108.14,100033
2006-08-11,118.36,100033
2006-08-12,125.31,100033
2006-09-05,118.58,100033
2006-09-06,91.42,100033
2006-09-08,100.87,100033
2006-09-10,112.38,100033
2006-09-11,118.69,100033
2006-10-04,116.81,100033
2006-10-05,119.15,100033
2006-10-07,95.59,100033
2006-10-08,101.27,100033
2006-10-10,112.57,100033
2006-10-11,119.49,100033
2006-11-05,118.14,100033
2006-11-07,95.24,100033
2006-11-08,101.72,100033
2006-11-09,105.47,100033
2006-11-10,112.19,100033
2006-11-12,121.59,100033
2006-12-04,113.56,100033
2006-12-05,117.04,100033
2006-12-06,88.79,100033
2006-12-07,97.09,100033
2006-12-09,106.46,100033
2006-12-10,113.81,100033
2006-12-11,121.59,100033
2006-12-12,117.29,100033
2007-01-02,129.21,100033
2007-01-03,119.45,100033
2007-01-06,132.97,100033
2007-01-08,135.23,100033
2007-01-10,153.95,100033
2007-01-11,169.98,100033
2007-02-01,125.56,100033
2007-02-02,130.66,100033
2007-02-03,116.85,100033
2007-02-04,114.04,100033
2007-02-07,135.6,100033
2007-02-08,136.13,100033
2007-02-11,171.98,100033
2007-03-01,125.98,100033
2007-03-04,115.33,100033
2007-03-05,126.58,100033
2007-03-07,136.52,100033
2007-03-08,137.5,100033
2007-03-09,140.47,100033
2007-03-10,156.09,100033
2007-03-12,179.72,100033
2007-04-01,125.48,100033
2007-04-04,116.73,100033
2007-04-05,125.32,100033
2007-04-06,131.45,100033
2007-04-07,136.26,100033
2007-04-09,141.18,100033
2007-04-10,156.33,100033
2007-04-12,181.48,100033
2007-05-01,125.38,100033
2007-05-02,131.14,100033
2007-05-03,112.41,100033
2007-05-04,117.58,100033
