month,sip_inflow_crore,active_sip_accounts_crore,new_sip_accounts_lakh,sip_aum_lakh_crore,yoy_growth_pct
1640995200000000,11517,4.91,9.1,4.8,
1643673600000000,11438,4.93,8.2,4.85,
1646092800000000,12328,5.09,10.5,5.01,
1648771200000000,11863,5.48,9.52,5.12,
1651363200000000,12286,5.55,8.1,5.15,
1654041600000000,12276,5.6,7.5,5.18,
1656633600000000,12140,5.65,9.21,5.25,
1659312000000000,12694,5.71,8.9,5.31,
1661990400000000,12976,5.8,9.4,5.41,
1664582400000000,13040,5.93,9.52,5.55,
1667260800000000,13306,6.0,8.8,5.62,
1669852800000000,13573,6.05,7.6,5.7,
1672531200000000,13856,6.13,9.1,5.82,20.31
1675209600000000,13687,6.19,8.2,5.88,19.66
1677628800000000,14276,6.32,10.0,6.01,15.8
1680307200000000,14749,6.41,9.25,6.15,24.33
1682899200000000,14749,6.5,8.7,6.22,20.05
1685577600000000,14734,6.55,7.9,6.3,20.02
1688169600000000,15245,6.65,9.8,6.45,25.58
1690848000000000,15814,6.73,9.1,6.58,24.58
1693526400000000,16042,6.82,10.2,6.72,23.63
1696118400000000,16928,6.91,9.5,6.9,29.82
1698796800000000,17073,7.0,8.8,7.05,28.31
1701388800000000,17610,7.1,8.4,7.18,29.74
1704067200000000,18838,7.2,9.6,7.35,35.96
1706745600000000,19187,7.3,8.5,7.52,40.18
1709251200000000,20371,7.4,9.0,7.71,42.69
1711929600000000,20371,7.6,9.4,7.9,38.12
1714521600000000,21262,7.78,8.9,8.15,44.16
1717200000000000,21262,7.9,8.2,8.35,44.31
1719792000000000,23332,8.0,10.0,8.56,53.05
1722470400000000,23547,8.11,9.8,8.78,48.9
1725148800000000,24509,8.22,9.2,8.98,52.78
1727740800000000,25323,8.3,9.55,9.22,49.59
1730419200000000,25320,8.4,9.1,9.45,48.3
1733011200000000,26459,8.5,9.3,9.7,50.25
1735689600000000,26400,8.22,9.1,13.0,40.14
1738368000000000,25999,8.3,8.6,13.18,35.5
1740787200000000,25926,8.11,7.8,13.35,27.27
1743465600000000,26632,8.38,46.0,13.55,30.73
1746057600000000,26688,8.5,9.2,13.72,25.52
1748736000000000,27274,8.62,9.5,13.88,28.28
1751328000000000,28464,8.75,10.2,14.05,22.0
1754006400000000,28265,8.85,9.8,15.18,20.04
1756684800000000,29361,9.0,10.5,15.38,19.8
1759276800000000,29529,9.1,9.45,15.55,16.61
1761955200000000,30200,9.2,9.1,15.72,19.27
1764547200000000,31002,9.35,9.8,15.9,17.17
