fund_house,scheme_type,scheme_category,scheme_code,scheme_name,isin_growth,isin_div_reinvestment
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA12Z1,INF209KA13Z9
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,INF209K01YM2,
SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,INF200K01QX4,
Sundaram Mutual Fund,Open Ended Schemes,Income,119599,Sundaram Entertainment Opportunities Fund -Direct Plan - Growth Option,,
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan,INF179K01XH9,INF179K01XI7
,,,0,,,
SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,125497,SBI Small Cap Fund - Direct Plan - Growth,INF200K01T51,
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,125498,SBI BANKING & PSU FUND - Regular Paln - Growth,INF200K01U41,
,,,0,,,
Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120504,Axis Midcap Fund - Direct Plan - IDCW,INF846K01EF7,INF846K01EG5
Axis Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,120505,Axis Midcap Fund - Direct Plan - Growth,INF846K01EH3,
Invesco Mutual Fund,Open Ended Schemes,Income/Debt Oriented Schemes - Money Market Fund,120506,Invesco India Money Market Fund - Direct Plan - Daily IDCW (Reinvestment),,INF205K01RV5
Invesco Mutual Fund,Open Ended Schemes,Income/Debt Oriented Schemes - Money Market Fund,120507,Invesco India Money Market Fund - Direct Plan - Growth,INF205K01RY9,
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XI3,
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,118633,Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option,INF204K01D30,
