investor_id,sip_transactions,avg_gap_days,first_sip_date,last_sip_date,continuity_status
INV000023,6,73.2,2024-05-04,2025-05-05,At-Risk
INV000086,6,49.2,2024-05-02,2025-01-03,At-Risk
INV000105,6,115.6,2024-02-01,2025-09-01,At-Risk
INV000109,6,83.6,2024-03-11,2025-05-03,At-Risk
INV000148,6,61.4,2024-03-04,2025-01-05,At-Risk
INV000228,7,45.666666666666664,2024-05-07,2025-02-05,At-Risk
INV000279,7,111.5,2024-01-03,2025-11-02,At-Risk
INV000452,6,108.6,2024-03-09,2025-09-03,At-Risk
INV000676,8,81.42857142857143,2024-05-10,2025-12-01,At-Risk
INV001002,7,51.333333333333336,2024-01-04,2024-11-07,At-Risk
INV001160,6,121.8,2024-02-04,2025-10-05,At-Risk
INV001202,6,138.2,2024-01-11,2025-12-02,At-Risk
INV001235,7,111.33333333333333,2024-02-06,2025-12-05,At-Risk
INV001562,6,115.6,2024-01-03,2025-08-03,At-Risk
INV001775,6,77.4,2024-06-12,2025-07-04,At-Risk
INV001777,6,96.0,2024-01-07,2025-05-01,At-Risk
INV002019,6,133.6,2024-02-06,2025-12-05,At-Risk
INV002195,6,72.6,2024-05-03,2025-05-01,At-Risk
INV002198,6,85.0,2024-08-05,2025-10-04,At-Risk
INV002219,6,125.6,2024-02-12,2025-11-01,At-Risk
INV002389,6,96.8,2024-04-08,2025-08-05,At-Risk
INV002400,6,63.0,2024-01-02,2024-11-12,At-Risk
INV002401,6,53.6,2024-04-10,2025-01-03,At-Risk
INV002531,6,91.8,2024-01-02,2025-04-05,At-Risk
INV002590,6,97.0,2024-04-05,2025-08-03,At-Risk
INV002733,6,120.2,2024-02-12,2025-10-05,At-Risk
INV002951,6,114.2,2024-01-08,2025-08-01,At-Risk
INV003187,6,140.6,2024-01-02,2025-12-05,At-Risk
INV003450,6,83.8,2024-01-11,2025-03-05,At-Risk
INV003670,6,134.8,2024-01-01,2025-11-05,At-Risk
INV003673,6,127.0,2024-03-10,2025-12-05,At-Risk
INV003748,6,78.0,2024-03-09,2025-04-03,At-Risk
INV003964,7,105.66666666666667,2024-01-09,2025-10-04,At-Risk
INV004038,6,122.0,2024-03-05,2025-11-05,At-Risk
INV004125,6,122.2,2024-02-02,2025-10-05,At-Risk
INV004208,6,102.8,2024-01-05,2025-06-02,At-Risk
INV004335,6,85.0,2024-04-06,2025-06-05,At-Risk
INV004452,6,73.8,2024-05-01,2025-05-05,At-Risk
