scheme_code,scheme_name,observations,VaR_95,CVaR_95,fund_house
100033,100033,5005,-0.020101698081004305,-0.03208306120404439,Aditya Birla Sun Life Mutual Fund
119599,119599,872,-0.018527970656385638,-0.026037048625609724,Sundaram Mutual Fund
120843,120843,3345,-0.017831870721593156,-0.026978131200471673,quant Mutual Fund
120842,120842,3345,-0.01779927917844801,-0.026969379801659858,quant Mutual Fund
149323,149323,1145,-0.016610566426684636,-0.02457561994163777,ITI Mutual Fund
149324,149324,1145,-0.016605096096462123,-0.023919911808477558,ITI Mutual Fund
149322,149322,1145,-0.016557918904176305,-0.024385955149922086,ITI Mutual Fund
118634,118634,3341,-0.016417562123933305,-0.027413907778145924,Nippon India Mutual Fund
119095,119095,3344,-0.01589832849391634,-0.02623197699420525,DSP Mutual Fund
118633,118633,3341,-0.015854632510255318,-0.02458529365533442,Nippon India Mutual Fund
118632,118632,3342,-0.01585363005002969,-0.024585799878225238,Nippon India Mutual Fund
148569,148569,1404,-0.01521219293095889,-0.02530160097499658,Mahindra Manulife Mutual Fund
120504,120504,3350,-0.015211121805302564,-0.02710376153706579,Axis Mutual Fund
125497,125497,3135,-0.015064042100919694,-0.023178092944383822,SBI Mutual Fund
120505,120505,3350,-0.014852856131534536,-0.02262237537421716,Axis Mutual Fund
120503,120503,3350,-0.014545041585132906,-0.022615344742847765,Axis Mutual Fund
120841,120841,3345,-0.014222564971270635,-0.023774681158149652,quant Mutual Fund
119598,119598,3351,-0.014201124987372471,-0.02257651327531143,SBI Mutual Fund
148567,148567,1404,-0.014169938866517162,-0.021130643535374832,Mahindra Manulife Mutual Fund
102885,102885,4994,-0.013336568933859226,-0.021780132656243616,SBI Mutual Fund
119120,119120,3281,-0.0055057331586344516,-0.01206963822111078,HDFC Mutual Fund
119552,119552,3280,-0.0025987723386411746,-0.00498317800727979,Aditya Birla Sun Life Mutual Fund
119094,119094,3609,-0.0011839545962809561,-0.0016814214319227792,HDFC Mutual Fund
119551,119551,3280,-0.001022111221310079,-0.008408034937910527,Aditya Birla Sun Life Mutual Fund
125498,125498,3077,-0.0006293376072888934,-0.0015292460071690012,SBI Mutual Fund
120844,120844,1988,-0.00015207582930826236,-0.005931186635839646,quant Mutual Fund
120506,120506,3278,-4.024648132606723e-05,-0.00033087989297262473,Invesco Mutual Fund
119093,119093,3609,0.0,-1.182282236140987e-05,HDFC Mutual Fund
120507,120507,3278,3.564924025662997e-05,-0.00023091209330052968,Invesco Mutual Fund
119092,119092,3609,5.72831049101552e-05,-0.00021308327673286655,HDFC Mutual Fund
101206,101206,7066,8.399072246684236e-05,7.023593232180711e-05,SBI Mutual Fund
101207,101207,110,0.00015915678833854362,-0.009097598846856791,UTI Mutual Fund
101208,101208,110,0.00015974847716023754,0.0001538501445568959,UTI Mutual Fund
118636,118636,1166,0.00017034805782478735,0.00012358026405915945,Edelweiss Mutual Fund
